siren,nom_raison_sociale,activite_principale,adresse,cedex,code_postal,complement_adresse,date_debut_activite,siret,pays
356000000,LA POSTE,53.10Z,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS 15,,75015,DIRECTION GENERALE DE LA POSTE,2014-04-29,35600000000048,France
552081317,ELECTRICITE DE FRANCE,35.11Z,22-30 22 AV DE WAGRAM 75382 PARIS CEDEX 08,75382,75008,22-30,2009-02-22,55208131766522,France
217500016,VILLE DE PARIS,84.11Z,4 PL HOTEL VILLE ESP LIBERATION 75004 PARIS 4,,75004,,2008-01-01,21750001600019,France
552120222,SOCIETE GENERALE,64.19Z,29 BD HAUSSMANN 75009 PARIS 9,,75009,,2008-01-01,55212022200013,France
662025196,ELRES,70.10Z,9-11 9 ALL DE L ARCHE 92032 PARIS LA DEFENSE CEDEX,92032,92400,9-11,2016-09-01,66202519660347,France
662042449,BNP PARIBAS,64.19Z,16 BD DES ITALIENS 75009 PARIS 9,,75009,,2013-05-16,66204244900014,France
412280737,SNCF RESEAU,52.21Z,15 AU 17 15 RUE JEAN PHILIPPE RAMEAU 93200 SAINT-DENIS,,93200,15 AU 17,2015-10-01,41228073720375,France
775672272,CROIX ROUGE FRANCAISE,88.99B,SITE CROIX ROUGE 98 RUE DIDOT 75694 PARIS CEDEX 14,75694,75014,SITE CROIX ROUGE,2008-01-01,77567227221138,France
380129866,ORANGE,61.10Z,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,,92130,,2020-06-01,38012986648625,France
632041042,COMPASS GROUP FRANCE,56.29A,117-133 117 AV DE LA REPUBLIQUE 92320 CHATILLON,,92320,117-133,2017-01-13,63204104266251,France
343262622,LIDL,70.10Z,72-92 72 AV ROBERT SCHUMAN 94150 RUNGIS,,94150,72-92,2020-12-14,34326262218927,France
542076799,OGF,96.03Z,31 RUE DE CAMBRAI 75946 PARIS CEDEX 19,75946,75019,,2008-01-01,54207679900148,France
954509741,CREDIT LYONNAIS,64.19Z,18 RUE DE LA REPUBLIQUE BP 2351 69215 LYON CEDEX 02,69215,69002,,2012-04-23,95450974100011,France
